hour_of_day,day_of_week,failure_rate,location_Germany,location_India,location_Japan,location_USA,device_type_Linux,device_type_Mac,device_type_Windows,device_type_iOS,login_method_OTP,login_method_password
6,0,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
19,2,0.050000000000000044,False,False,False,True,False,False,True,False,False,False
0,2,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
9,2,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
5,2,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
10,1,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
14,4,0.050000000000000044,False,False,False,False,False,False,True,False,False,True
10,2,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
6,6,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
8,3,0.050000000000000044,False,False,False,False,False,False,False,True,True,False
20,3,0.050000000000000044,True,False,False,False,False,False,False,True,False,True
4,1,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
6,5,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
21,0,0.050000000000000044,True,False,False,False,False,False,True,False,False,True
1,2,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
4,6,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
5,2,0.050000000000000044,True,False,False,False,False,False,True,False,False,False
4,4,0.050000000000000044,False,True,False,False,False,True,False,False,False,True
11,2,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
3,6,0.050000000000000044,False,False,False,False,False,False,True,False,False,True
12,6,0.050000000000000044,False,False,False,False,False,False,False,False,True,False
7,0,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
21,3,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
2,2,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
12,1,0.050000000000000044,False,True,False,False,False,False,False,True,True,False
3,1,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
22,6,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
16,1,0.050000000000000044,False,True,False,False,False,False,False,False,False,False
10,2,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
10,1,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
18,2,0.050000000000000044,False,True,False,False,False,False,False,True,True,False
15,6,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
19,4,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
20,6,0.050000000000000044,False,True,False,False,False,False,True,False,False,False
6,3,0.050000000000000044,False,False,False,False,False,False,False,True,False,False
12,5,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
13,4,0.050000000000000044,False,False,True,False,False,False,False,True,True,False
3,3,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
20,5,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
20,6,0.050000000000000044,True,False,False,False,False,False,True,False,False,False
6,1,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
3,3,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
13,5,0.050000000000000044,False,False,True,False,False,True,False,False,False,False
3,2,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
0,1,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
18,1,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
9,4,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
1,5,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
21,5,0.050000000000000044,False,True,False,False,True,False,False,False,False,False
9,4,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
21,3,0.050000000000000044,False,True,False,False,False,True,False,False,True,False
13,1,0.050000000000000044,False,False,False,True,False,False,True,False,False,False
11,6,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
2,0,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
16,4,0.050000000000000044,True,False,False,False,False,False,True,False,False,True
20,6,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
15,4,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
12,5,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
2,6,0.050000000000000044,False,True,False,False,False,False,False,True,False,True
4,0,0.050000000000000044,False,False,True,False,False,True,False,False,False,True
19,4,0.050000000000000044,False,False,False,True,False,True,False,False,True,False
11,5,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
12,1,0.050000000000000044,False,False,True,False,False,False,False,False,True,False
7,6,0.050000000000000044,False,True,False,False,False,False,False,True,False,False
20,4,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
13,5,0.050000000000000044,False,True,False,False,False,False,False,True,False,True
2,2,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
20,0,0.050000000000000044,False,False,True,False,False,False,False,True,False,True
11,1,0.050000000000000044,False,False,True,False,False,False,True,False,False,True
6,2,0.050000000000000044,False,True,False,False,False,True,False,False,True,False
15,3,0.050000000000000044,False,False,True,False,False,False,False,True,False,True
6,3,0.050000000000000044,False,True,False,False,False,False,False,True,False,True
0,1,0.050000000000000044,False,True,False,False,False,False,False,True,False,False
15,4,0.050000000000000044,False,False,True,False,False,True,False,False,False,False
5,1,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
15,4,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
20,2,0.050000000000000044,False,True,False,False,False,False,False,True,False,True
16,3,0.050000000000000044,False,True,False,False,False,False,False,True,True,False
5,5,0.050000000000000044,False,False,True,False,False,False,True,False,False,True
10,2,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
20,5,0.050000000000000044,False,True,False,False,False,False,False,True,False,True
4,5,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
4,1,0.050000000000000044,False,False,False,True,False,False,True,False,False,False
12,0,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
21,2,0.050000000000000044,True,False,False,False,False,True,False,False,False,False
21,5,0.050000000000000044,False,True,False,False,True,False,False,False,False,True
23,6,0.050000000000000044,False,True,False,False,True,False,False,False,False,True
0,0,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
0,3,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
21,0,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
13,2,0.050000000000000044,False,True,False,False,True,False,False,False,False,False
21,1,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
9,5,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
18,0,0.050000000000000044,False,True,False,False,False,False,True,False,True,False
3,0,0.050000000000000044,False,False,False,False,False,False,False,False,False,False
22,1,0.050000000000000044,False,False,True,False,False,True,False,False,False,True
22,3,0.050000000000000044,False,False,False,False,False,False,True,False,False,True
17,0,0.050000000000000044,True,False,False,False,False,False,False,False,False,False
13,3,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
0,4,0.050000000000000044,False,False,False,False,False,True,False,False,False,True
5,4,0.030000000000000027,False,False,False,True,False,True,False,False,False,True
12,4,0.030000000000000027,False,True,False,False,False,False,False,False,True,False
16,0,0.030000000000000027,False,False,False,False,True,False,False,False,True,False
11,6,0.030000000000000027,False,False,False,True,False,False,False,True,True,False
19,6,0.030000000000000027,False,False,False,True,True,False,False,False,False,True
10,6,0.030000000000000027,False,False,True,False,True,False,False,False,False,True
16,0,0.030000000000000027,False,True,False,False,True,False,False,False,False,False
5,4,0.030000000000000027,False,False,False,True,False,False,False,True,False,True
15,1,0.030000000000000027,False,False,False,False,False,True,False,False,True,False
3,2,0.030000000000000027,True,False,False,False,False,False,True,False,False,False
6,1,0.030000000000000027,False,True,False,False,False,True,False,False,True,False
4,6,0.030000000000000027,False,False,False,True,True,False,False,False,False,False
18,2,0.030000000000000027,False,True,False,False,False,False,True,False,False,False
4,6,0.030000000000000027,False,True,False,False,False,False,False,False,True,False
18,3,0.030000000000000027,False,True,False,False,False,False,False,True,False,True
23,5,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
23,0,0.030000000000000027,False,True,False,False,True,False,False,False,True,False
4,0,0.030000000000000027,False,False,False,False,True,False,False,False,True,False
14,2,0.030000000000000027,False,False,False,True,False,False,False,True,False,False
6,6,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
17,1,0.030000000000000027,False,True,False,False,False,True,False,False,False,False
16,2,0.030000000000000027,False,False,False,True,False,False,False,True,True,False
18,3,0.030000000000000027,False,False,False,False,False,True,False,False,False,False
6,0,0.030000000000000027,False,False,False,True,False,True,False,False,False,True
13,0,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
9,1,0.030000000000000027,False,False,False,True,False,False,False,True,False,True
18,5,0.030000000000000027,False,False,False,True,False,True,False,False,False,True
20,5,0.030000000000000027,False,False,False,False,False,False,True,False,True,False
8,1,0.030000000000000027,False,False,False,True,False,False,False,True,True,False
22,1,0.030000000000000027,False,True,False,False,False,False,True,False,True,False
10,3,0.030000000000000027,False,False,False,False,False,False,False,True,False,False
5,3,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
23,1,0.030000000000000027,False,False,False,True,False,False,False,True,True,False
19,3,0.030000000000000027,True,False,False,False,False,False,False,False,True,False
18,6,0.030000000000000027,True,False,False,False,True,False,False,False,False,False
6,5,0.030000000000000027,False,True,False,False,True,False,False,False,True,False
3,6,0.030000000000000027,True,False,False,False,False,True,False,False,True,False
23,2,0.030000000000000027,False,False,False,True,False,False,False,True,False,True
13,4,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
7,6,0.030000000000000027,True,False,False,False,False,False,True,False,True,False
23,3,0.030000000000000027,False,False,False,True,False,False,False,False,True,False
16,4,0.030000000000000027,False,False,False,True,False,False,False,False,True,False
7,4,0.030000000000000027,False,False,True,False,False,False,True,False,False,False
15,1,0.030000000000000027,False,False,False,True,True,False,False,False,True,False
2,6,0.030000000000000027,False,False,False,False,False,False,False,False,False,False
7,5,0.030000000000000027,True,False,False,False,False,True,False,False,True,False
19,0,0.030000000000000027,False,False,False,True,False,False,False,False,False,True
6,5,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
3,0,0.030000000000000027,False,False,False,False,False,True,False,False,False,False
5,6,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
15,5,0.030000000000000027,False,True,False,False,False,False,True,False,False,False
13,3,0.030000000000000027,False,False,False,True,False,False,False,False,False,True
2,4,0.030000000000000027,False,False,False,True,True,False,False,False,False,True
7,2,0.030000000000000027,False,False,False,True,False,False,False,False,True,False
2,0,0.030000000000000027,False,False,False,True,False,False,True,False,True,False
7,0,0.030000000000000027,True,False,False,False,False,False,True,False,True,False
21,2,0.030000000000000027,False,True,False,False,False,False,True,False,False,True
17,5,0.030000000000000027,False,False,False,True,False,False,True,False,False,False
10,0,0.030000000000000027,False,False,False,True,False,False,False,False,False,False
18,1,0.030000000000000027,False,True,False,False,False,True,False,False,True,False
16,4,0.030000000000000027,True,False,False,False,False,True,False,False,False,False
14,4,0.030000000000000027,False,False,True,False,False,False,True,False,False,True
3,1,0.030000000000000027,False,False,False,True,False,False,True,False,True,False
16,0,0.030000000000000027,False,True,False,False,False,False,False,False,True,False
23,2,0.030000000000000027,False,False,False,True,False,True,False,False,False,True
9,6,0.030000000000000027,False,False,False,False,False,False,False,True,False,True
20,5,0.030000000000000027,True,False,False,False,True,False,False,False,False,False
17,3,0.030000000000000027,False,True,False,False,False,False,True,False,False,False
14,0,0.030000000000000027,False,False,False,True,False,False,False,False,True,False
19,1,0.030000000000000027,False,False,False,True,True,False,False,False,False,False
1,0,0.030000000000000027,True,False,False,False,False,False,False,False,False,True
0,6,0.030000000000000027,False,False,True,False,True,False,False,False,False,False
3,5,0.030000000000000027,True,False,False,False,False,False,False,False,True,False
21,4,0.030000000000000027,False,False,False,True,False,True,False,False,False,True
1,1,0.030000000000000027,False,False,False,False,False,True,False,False,True,False
13,0,0.030000000000000027,False,True,False,False,False,False,False,False,True,False
21,0,0.030000000000000027,False,False,False,True,True,False,False,False,False,True
10,6,0.030000000000000027,False,False,False,True,True,False,False,False,True,False
15,2,0.030000000000000027,False,False,False,False,True,False,False,False,False,False
18,2,0.030000000000000027,False,True,False,False,False,True,False,False,False,True
12,5,0.030000000000000027,True,False,False,False,False,False,False,False,False,False
5,1,0.030000000000000027,False,True,False,False,False,False,False,False,True,False
10,1,0.030000000000000027,False,False,False,True,False,True,False,False,True,False
5,4,0.030000000000000027,False,False,False,True,False,False,False,True,True,False
14,2,0.030000000000000027,False,True,False,False,True,False,False,False,True,False
21,1,0.030000000000000027,False,False,False,True,False,False,False,False,True,False
9,5,0.030000000000000027,False,False,False,True,False,False,True,False,False,False
13,0,0.030000000000000027,False,False,False,True,False,False,False,True,False,False
16,2,0.030000000000000027,False,False,False,True,False,False,False,False,True,False
9,2,0.030000000000000027,False,False,True,False,False,False,False,True,False,False
15,5,0.030000000000000027,False,False,True,False,False,True,False,False,True,False
5,1,0.030000000000000027,False,False,False,True,True,False,False,False,False,True
7,0,0.030000000000000027,False,False,False,True,False,False,True,False,False,True
14,6,0.030000000000000027,False,False,False,True,False,True,False,False,False,False
4,5,0.030000000000000027,False,False,False,True,False,False,True,False,False,False
10,1,0.030000000000000027,False,False,False,True,False,False,False,False,True,False
13,3,0.030000000000000027,False,False,True,False,True,False,False,False,True,False
20,4,0.030000000000000027,False,False,False,False,False,False,False,False,True,False
16,5,0.030000000000000027,False,True,False,False,False,False,True,False,False,True
9,0,0.030000000000000027,False,False,False,False,True,False,False,False,False,True
19,1,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
14,1,0.050000000000000044,True,False,False,False,False,True,False,False,False,False
22,5,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
15,5,0.050000000000000044,False,False,True,False,True,False,False,False,False,False
8,6,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
18,1,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
11,4,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
12,4,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
20,0,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
1,4,0.050000000000000044,True,False,False,False,False,False,False,False,False,True
17,6,0.050000000000000044,False,False,True,False,False,False,False,True,False,False
23,1,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
16,3,0.050000000000000044,False,False,True,False,False,True,False,False,False,True
9,4,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
20,3,0.050000000000000044,False,False,True,False,False,False,False,False,False,True
4,2,0.050000000000000044,False,True,False,False,False,False,False,False,True,False
21,0,0.050000000000000044,False,True,False,False,False,False,False,False,False,True
17,0,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
9,4,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
23,6,0.050000000000000044,False,False,True,False,False,False,False,True,False,False
5,0,0.050000000000000044,False,False,True,False,True,False,False,False,False,False
16,0,0.050000000000000044,True,False,False,False,False,True,False,False,True,False
14,6,0.050000000000000044,False,True,False,False,True,False,False,False,False,True
6,6,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
15,4,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
20,5,0.050000000000000044,False,False,False,False,True,False,False,False,True,False
11,4,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
21,4,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
14,1,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
14,1,0.050000000000000044,False,True,False,False,False,False,False,True,True,False
7,6,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
23,4,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
0,1,0.050000000000000044,False,True,False,False,True,False,False,False,True,False
13,6,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
8,1,0.050000000000000044,False,False,False,True,False,False,True,False,False,False
0,6,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
8,0,0.050000000000000044,False,True,False,False,False,True,False,False,True,False
16,3,0.050000000000000044,False,True,False,False,True,False,False,False,True,False
4,2,0.050000000000000044,False,False,True,False,False,True,False,False,True,False
11,1,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
6,0,0.050000000000000044,True,False,False,False,False,True,False,False,False,True
9,3,0.050000000000000044,True,False,False,False,False,False,False,False,True,False
4,2,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
14,5,0.050000000000000044,False,False,False,False,False,False,False,True,False,False
3,4,0.050000000000000044,False,False,False,False,False,False,False,False,False,False
16,2,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
23,6,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
16,2,0.050000000000000044,False,True,False,False,False,True,False,False,True,False
5,3,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
13,0,0.050000000000000044,False,False,False,True,False,True,False,False,True,False
23,0,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
3,2,0.050000000000000044,False,False,False,False,False,False,False,False,False,True
2,1,0.050000000000000044,False,False,True,False,False,False,True,False,False,False
18,2,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
2,1,0.050000000000000044,True,False,False,False,True,False,False,False,True,False
15,5,0.050000000000000044,False,True,False,False,True,False,False,False,False,False
17,4,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
6,3,0.050000000000000044,False,False,False,False,False,False,True,False,False,False
1,4,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
2,5,0.050000000000000044,False,False,False,True,False,False,True,False,False,False
6,6,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
18,6,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
20,3,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
22,2,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
21,4,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
15,0,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
7,3,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
5,6,0.050000000000000044,False,True,False,False,False,False,False,False,True,False
10,5,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
3,5,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
23,0,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
9,5,0.050000000000000044,False,False,False,False,False,False,True,False,False,True
17,2,0.050000000000000044,False,True,False,False,False,False,False,True,True,False
2,6,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
4,6,0.050000000000000044,False,True,False,False,False,False,True,False,False,False
20,4,0.050000000000000044,False,False,False,False,True,False,False,False,False,True
18,4,0.050000000000000044,False,False,False,False,False,True,False,False,False,False
22,6,0.050000000000000044,False,True,False,False,False,True,False,False,False,False
0,1,0.050000000000000044,False,False,True,False,False,False,True,False,True,False
1,6,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
13,0,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
7,5,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
11,2,0.050000000000000044,False,True,False,False,True,False,False,False,False,True
